,file_name,ch,strain,time,treatment,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,,,,,,,,,,,
40,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_5.npz,4,B117,2,INF,250,172,5,15.6,,,,,,,,,,,
41,CoV-FISH-10_Vero_2h_B117_INF_R1_00003_ch4_results_cell_6.npz,4,B117,2,INF,221,158,5,12.6,,,,,,,,,,,
42,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_0.npz,3,B117,2,INF,72,72,0,,,,,,,,,,,,
43,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_1.npz,3,B117,2,INF,316,147,4,42.25,,,,,,,,,,,
44,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_2.npz,3,B117,2,INF,159,80,2,39.5,,,,,,,,,,,
45,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_3.npz,3,B117,2,INF,497,164,9,37,,,,,,,,,,,
46,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_4.npz,3,B117,2,INF,304,213,4,22.75,,,,,,,,,,,
47,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_5.npz,3,B117,2,INF,1088,398,17,40.58823529,,,,,,,,,,,
48,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_6.npz,3,B117,2,INF,380,162,6,36.33333333,,,,,,,,,,,
49,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_7.npz,3,B117,2,INF,566,223,10,34.3,,,,,,,,,,,
50,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch3_results_cell_8.npz,3,B117,2,INF,57,23,2,17,,,,,,,,,,,
51,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_0.npz,4,B117,2,INF,64,64,0,,,,,,,,,,,,
52,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_1.npz,4,B117,2,INF,156,114,2,21,,,,,,,,,,,
53,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_2.npz,4,B117,2,INF,156,94,4,15.5,,,,,,,,,,,
54,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_3.npz,4,B117,2,INF,114,114,0,,,,,,,,,,,,
55,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_4.npz,4,B117,2,INF,199,178,3,7,,,,,,,,,,,
56,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_5.npz,4,B117,2,INF,577,332,13,18.84615385,,,,,,,,,,,
57,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_6.npz,4,B117,2,INF,171,134,2,18.5,,,,,,,,,,,
58,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_7.npz,4,B117,2,INF,325,179,7,20.85714286,,,,,,,,,,,
59,CoV-FISH-10_Vero_2h_B117_INF_R1_00004_ch4_results_cell_8.npz,4,B117,2,INF,12,12,0,,,,,,,,,,,,
60,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_0.npz,3,B117,2,INF,176,140,2,18,,,,,,,,,,,
61,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_1.npz,3,B117,2,INF,129,71,2,29,,,,,,,,,,,
62,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_2.npz,3,B117,2,INF,160,137,1,23,,,,,,,,,,,
63,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_3.npz,3,B117,2,INF,220,99,4,30.25,,,,,,,,,,,
64,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_4.npz,3,B117,2,INF,194,94,4,25,,,,,,,,,,,
65,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_5.npz,3,B117,2,INF,246,148,5,19.6,,,,,,,,,,,
66,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_6.npz,3,B117,2,INF,313,172,7,20.14285714,,,,,,,,,,,
67,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch3_results_cell_7.npz,3,B117,2,INF,246,189,4,14.25,,,,,,,,,,,
68,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_0.npz,4,B117,2,INF,177,117,3,20,,,,,,,,,,,
69,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_1.npz,4,B117,2,INF,152,75,3,25.66666667,,,,,,,,,,,
70,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_2.npz,4,B117,2,INF,152,126,3,8.666666667,,,,,,,,,,,
71,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_3.npz,4,B117,2,INF,76,60,1,16,,,,,,,,,,,
72,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_4.npz,4,B117,2,INF,128,86,2,21,,,,,,,,,,,
73,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_5.npz,4,B117,2,INF,214,163,5,10.2,,,,,,,,,,,
74,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_6.npz,4,B117,2,INF,219,152,5,13.4,,,,,,,,,,,
75,CoV-FISH-10_Vero_2h_B117_INF_R1_00005_ch4_results_cell_7.npz,4,B117,2,INF,161,142,1,19,,,,,,,,,,,
76,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_0.npz,3,B117,2,INF,189,103,4,21.5,,,,,,,,,,,
77,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_1.npz,3,B117,2,INF,115,109,2,3,,,,,,,,,,,
78,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_2.npz,3,B117,2,INF,714,294,15,28,,,,,,,,,,,
79,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_3.npz,3,B117,2,INF,529,190,8,42.375,,,,,,,,,,,
80,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_4.npz,3,B117,2,INF,215,126,4,22.25,,,,,,,,,,,
81,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_5.npz,3,B117,2,INF,251,100,4,37.75,,,,,,,,,,,
82,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_6.npz,3,B117,2,INF,61,41,2,10,,,,,,,,,,,
83,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_7.npz,3,B117,2,INF,242,126,4,29,,,,,,,,,,,
84,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch3_results_cell_8.npz,3,B117,2,INF,459,199,6,43.33333333,,,,,,,,,,,
85,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_0.npz,4,B117,2,INF,80,80,0,,,,,,,,,,,,
86,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_1.npz,4,B117,2,INF,99,93,1,6,,,,,,,,,,,
87,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_2.npz,4,B117,2,INF,504,248,14,18.28571429,,,,,,,,,,,
88,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_3.npz,4,B117,2,INF,289,185,5,20.8,,,,,,,,,,,
89,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_4.npz,4,B117,2,INF,164,129,3,11.66666667,,,,,,,,,,,
90,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_5.npz,4,B117,2,INF,122,86,2,18,,,,,,,,,,,
91,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_6.npz,4,B117,2,INF,29,29,0,,,,,,,,,,,,
92,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_7.npz,4,B117,2,INF,150,102,3,16,,,,,,,,,,,
93,CoV-FISH-10_Vero_2h_B117_INF_R1_00006_ch4_results_cell_8.npz,4,B117,2,INF,226,127,4,24.75,,,,,,,,,,,
94,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_0.npz,3,B117,2,INF,107,78,2,14.5,,,,,,,,,,,
95,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_10.npz,3,B117,2,INF,64,64,0,,,,,,,,,,,,
96,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_1.npz,3,B117,2,INF,237,90,4,36.75,,,,,,,,,,,
97,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_2.npz,3,B117,2,INF,281,102,5,35.8,,,,,,,,,,,
98,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_3.npz,3,B117,2,INF,150,91,1,59,,,,,,,,,,,
99,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_4.npz,3,B117,2,INF,88,37,1,51,,,,,,,,,,,
100,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_5.npz,3,B117,2,INF,11,11,0,,,,,,,,,,,,
101,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_6.npz,3,B117,2,INF,132,82,1,50,,,,,,,,,,,
102,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_7.npz,3,B117,2,INF,338,146,5,38.4,,,,,,,,,,,
103,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_8.npz,3,B117,2,INF,115,95,2,10,,,,,,,,,,,
104,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch3_results_cell_9.npz,3,B117,2,INF,46,46,0,,,,,,,,,,,,
105,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_0.npz,4,B117,2,INF,61,61,0,,,,,,,,,,,,
106,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_10.npz,4,B117,2,INF,100,62,1,38,,,,,,,,,,,
107,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_1.npz,4,B117,2,INF,62,62,0,,,,,,,,,,,,
108,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_2.npz,4,B117,2,INF,183,78,3,35,,,,,,,,,,,
109,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_3.npz,4,B117,2,INF,89,89,0,,,,,,,,,,,,
110,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_4.npz,4,B117,2,INF,60,32,1,28,,,,,,,,,,,
111,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_5.npz,4,B117,2,INF,5,5,0,,,,,,,,,,,,
112,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_6.npz,4,B117,2,INF,60,60,0,,,,,,,,,,,,
113,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_7.npz,4,B117,2,INF,143,111,2,16,,,,,,,,,,,
114,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_8.npz,4,B117,2,INF,79,79,0,,,,,,,,,,,,
115,CoV-FISH-10_Vero_2h_B117_INF_R1_00007_ch4_results_cell_9.npz,4,B117,2,INF,75,33,1,42,,,,,,,,,,,
116,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_0.npz,3,B117,2,INF,237,143,3,31.33333333,,,,,,,,,,,
117,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_1.npz,3,B117,2,INF,379,182,7,28.14285714,,,,,,,,,,,
118,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_2.npz,3,B117,2,INF,153,100,2,26.5,,,,,,,,,,,
119,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_3.npz,3,B117,2,INF,195,143,1,52,,,,,,,,,,,
120,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_4.npz,3,B117,2,INF,207,93,4,28.5,,,,,,,,,,,
121,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_5.npz,3,B117,2,INF,210,111,2,49.5,,,,,,,,,,,
122,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch3_results_cell_6.npz,3,B117,2,INF,214,130,3,28,,,,,,,,,,,
123,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_0.npz,4,B117,2,INF,135,104,1,31,,,,,,,,,,,
124,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_1.npz,4,B117,2,INF,250,165,6,14.16666667,,,,,,,,,,,
125,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_2.npz,4,B117,2,INF,102,89,1,13,,,,,,,,,,,
126,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_3.npz,4,B117,2,INF,135,110,3,8.333333333,,,,,,,,,,,
127,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_4.npz,4,B117,2,INF,109,75,1,34,,,,,,,,,,,
128,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_5.npz,4,B117,2,INF,166,109,2,28.5,,,,,,,,,,,
129,CoV-FISH-10_Vero_2h_B117_INF_R1_00008_ch4_results_cell_6.npz,4,B117,2,INF,151,116,2,17.5,,,,,,,,,,,
130,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_0.npz,3,B117,2,INF,69,69,0,,,,,,,,,,,,
131,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_1.npz,3,B117,2,INF,191,95,3,32,,,,,,,,,,,
132,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_2.npz,3,B117,2,INF,393,162,5,46.2,,,,,,,,,,,
133,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_3.npz,3,B117,2,INF,62,42,1,20,,,,,,,,,,,
134,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_4.npz,3,B117,2,INF,243,150,7,13.28571429,,,,,,,,,,,
135,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_5.npz,3,B117,2,INF,106,73,2,16.5,,,,,,,,,,,
136,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch3_results_cell_6.npz,3,B117,2,INF,242,90,3,50.66666667,,,,,,,,,,,
137,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_0.npz,4,B117,2,INF,68,68,0,,,,,,,,,,,,
138,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_1.npz,4,B117,2,INF,97,97,0,,,,,,,,,,,,
139,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_2.npz,4,B117,2,INF,141,114,1,27,,,,,,,,,,,
140,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_3.npz,4,B117,2,INF,39,39,0,,,,,,,,,,,,
141,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_4.npz,4,B117,2,INF,180,113,4,16.75,,,,,,,,,,,
142,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_5.npz,4,B117,2,INF,85,64,2,10.5,,,,,,,,,,,
143,CoV-FISH-10_Vero_2h_B117_INF_R1_00009_ch4_results_cell_6.npz,4,B117,2,INF,122,76,2,23,,,,,,,,,,,
144,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_0.npz,3,B117,2,INF,10,10,0,,,,,,,,,,,,
145,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_1.npz,3,B117,2,INF,68,35,2,16.5,,,,,,,,,,,
146,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_2.npz,3,B117,2,INF,116,102,1,14,,,,,,,,,,,
147,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_3.npz,3,B117,2,INF,128,61,1,67,,,,,,,,,,,
148,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_4.npz,3,B117,2,INF,371,138,6,38.83333333,,,,,,,,,,,
149,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_5.npz,3,B117,2,INF,211,46,4,41.25,,,,,,,,,,,
150,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_6.npz,3,B117,2,INF,172,89,4,20.75,,,,,,,,,,,
151,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_7.npz,3,B117,2,INF,448,172,6,46,,,,,,,,,,,
152,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch3_results_cell_8.npz,3,B117,2,INF,36,36,0,,,,,,,,,,,,
153,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_0.npz,4,B117,2,INF,9,9,0,,,,,,,,,,,,
154,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_1.npz,4,B117,2,INF,29,29,0,,,,,,,,,,,,
155,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_2.npz,4,B117,2,INF,96,93,1,3,,,,,,,,,,,
156,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_3.npz,4,B117,2,INF,65,65,0,,,,,,,,,,,,
157,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_4.npz,4,B117,2,INF,107,77,2,15,,,,,,,,,,,
158,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_5.npz,4,B117,2,INF,42,42,0,,,,,,,,,,,,
159,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_6.npz,4,B117,2,INF,109,82,2,13.5,,,,,,,,,,,
160,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_7.npz,4,B117,2,INF,128,73,2,27.5,,,,,,,,,,,
161,CoV-FISH-10_Vero_2h_B117_INF_R1_00010_ch4_results_cell_8.npz,4,B117,2,INF,95,55,3,13.33333333,,,,,,,,,,,
162,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_0.npz,3,B117,2,INF,216,95,3,40.33333333,,,,,,,,,,,
163,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_1.npz,3,B117,2,INF,117,82,1,35,,,,,,,,,,,
164,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_2.npz,3,B117,2,INF,185,123,3,20.66666667,,,,,,,,,,,
165,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_3.npz,3,B117,2,INF,175,91,3,28,,,,,,,,,,,
166,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_4.npz,3,B117,2,INF,538,168,9,41.11111111,,,,,,,,,,,
167,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_5.npz,3,B117,2,INF,114,54,2,30,,,,,,,,,,,
168,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_6.npz,3,B117,2,INF,197,101,4,24,,,,,,,,,,,
169,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch3_results_cell_7.npz,3,B117,2,INF,330,158,7,24.57142857,,,,,,,,,,,
170,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_0.npz,4,B117,2,INF,100,69,1,31,,,,,,,,,,,
171,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_1.npz,4,B117,2,INF,66,66,0,,,,,,,,,,,,
172,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_2.npz,4,B117,2,INF,111,92,1,19,,,,,,,,,,,
173,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_3.npz,4,B117,2,INF,114,101,2,6.5,,,,,,,,,,,
174,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_4.npz,4,B117,2,INF,149,90,2,29.5,,,,,,,,,,,
175,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_5.npz,4,B117,2,INF,81,60,1,21,,,,,,,,,,,
176,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_6.npz,4,B117,2,INF,125,102,4,5.75,,,,,,,,,,,
177,CoV-FISH-10_Vero_2h_B117_INF_R1_00011_ch4_results_cell_7.npz,4,B117,2,INF,202,150,4,13,,,,,,,,,,,
178,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_0.npz,3,B117,2,INF,108,55,1,53,,,,,,,,,,,
179,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_10.npz,3,B117,2,INF,429,159,4,67.5,,,,,,,,,,,
180,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_1.npz,3,B117,2,INF,309,118,2,95.5,,,,,,,,,,,
181,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_2.npz,3,B117,2,INF,57,57,0,,,,,,,,,,,,
182,CoV-FISH-10_Vero_2h_B117_INF_R1_00012_ch3_results_cell_3.npz,3,B117,2,INF,92,88,1,4,,,,,,,,,,,
